time,open,high,low,close,Volume,Volume MA
1450090800,37.19,37.95,37.1,37.71,1140,2664.15
1450695600,37.71,38.23,37.71,38,292,2534.75
1451300400,38,38.18,37.66,38.1,169,2396.7
1451905200,38.65,40.65,38.6,40.44,2161,2397.25
1452510000,40.45,43.05,40,40.04,5344,2502.05
1453114800,40.05,40.05,38.3,38.45,1247,2286.7
1453806000,38.45,38.47,38,38.02,825,1993.85
1454324400,38.1,39.27,38.05,38.65,987,1830.45
1455102000,38.91,38.91,37.9,38.7,726,1675.6
1455534000,38.85,39.25,38.4,39.11,1867,1662.25
1456142400,39.1,41.43,39.1,41.2,3262,1702.3
1456747200,41.25,43.65,41,42.49,8664,2077.4
1457352000,42.8,45.9,42.65,45.24,8534,2417.8
1457956800,45.25,45.4,39.56,39.56,1893,2447.9
1458561600,39.56,41.02,39,39.65,402,2231.35
1459166400,39,39.5,37.01,37.31,162,2032.25
1459771200,38.39,39.25,37.95,39.15,248,2031.4
1460376000,39.5,39.57,38.21,39.5,321,2033.95
1460980800,39.61,43,39.61,42.5,339,2003.55
1461585600,42.3,44.4,42.21,43.9,500,1954.15
1462190400,44,45.35,43.75,45.3,416,1917.95
1462795200,45.5,46.99,45.45,46.99,838,1945.25
1463400000,42.7,45.1,42.7,44.01,11124,2493
1464004800,43.66,44.35,41.81,43.65,11266,2948.25
1464609600,43.6,43.87,41.86,42.32,11977,3279.9
1465214400,42.2,43.9,41.8,43.25,15358,3985.45
1465819200,43.2,43.99,41.87,42.68,14243,4656.35
1466424000,42.7,43.1,39.6,40.34,18110,5512.5
1467028800,40.7,41.96,39.55,39.79,15707,6261.55
1467633600,39.8,44.3,39.27,44.05,13054,6820.9
1468238400,44.15,47.7,43,47.7,15637,7439.65
1468843200,47.7,48.35,46.62,47.77,4233,7218.1
1469448000,47.77,50.1,47.4,48.6,6092,7096
1470052800,48.85,49,45.61,46.05,6415,7322.1
1470657600,45.8,47,43.8,44.13,6843,7644.15
1471262400,44.13,45.3,43.01,43.88,3548,7813.45
1471867200,43.95,44.7,40.15,41.26,4317,8016.9
1472472000,41.35,42,39.6,41.7,3862,8193.95
1473076800,43.15,43.78,40.8,41.74,5654,8459.7
1473681600,41.98,43.4,41.75,42.35,4047,8637.05
1474286400,42.25,42.5,40.5,40.6,1609,8696.7
1474891200,40.6,43.2,40.15,42.87,2644,8787
1475496000,42.8,44.33,42.8,43.25,3797,8420.65
1476100800,43.5,43.8,42.97,43.31,949,7904.8
1476702000,43.36,43.39,40.41,40.55,3970,7504.45
1477306800,40.41,41.89,39.7,41.69,5101,6991.6
1477911600,41.75,42.35,39.82,39.9,5935,6576.2
1478516400,39.77,39.99,38.05,38.89,9092,6125.3
1479121200,39.32,39.8,37.3,37.5,2282,5454.05
1479726000,37.5,38,37.2,37.49,1155,4859.1
1480330800,37.75,38.93,37.03,38.4,1665,4160.5
1480935600,37.99,38.9,37.52,37.65,1575,4027.6
1481540400,37.65,38.2,37.11,37.11,1394,3792.7
1482145200,37.2,37.2,35.5,35.7,2515,3597.7
1482750000,35.7,35.98,35,35.8,981,3304.6
1483354800,35.67,35.95,34.92,35.08,2823,3268.35
1483959600,34.86,35.01,33.41,34.73,6564,3380.7
1484564400,33.44,35.35,33.44,33.59,2739,3324.55
1485169200,33.6,34.95,33.04,33.7,1625,3123.1
1485774000,33.7,33.7,32,32.48,2780,3059.75
1486378800,32.48,33.09,31.95,32.79,2222,3090.4
1486983600,32.9,33.05,31,31.2,6356,3276
1487592000,31.25,31.42,30.5,30.95,4743,3323.3
1488369600,31,32.09,31,31.81,2088,3380.25
1488801600,31.78,32.2,30.62,30.98,4965,3430
1489406400,30.98,31.2,29.79,29.79,2261,3288
1490011200,29.79,29.79,27.58,27.58,0,2991.25
1490616000,27.58,28.17,27.58,28.17,0,2536.65
1491220800,28.17,28.17,27.12,27.21,0,2422.55
1491825600,27.21,27.49,27.21,27.43,0,2364.8
1492430400,27.43,28.19,27.43,27.73,0,2281.55
1493035200,27.73,27.89,27.62,27.7,0,2202.8
1493726400,27.7,27.82,27.7,27.77,0,2133.1
1494244800,27.77,27.77,27.3,27.34,0,2007.35
1494849600,26.74,28.3,26.41,27.73,16432,2779.9
1495454400,27.6,27.95,26.75,26.94,9894,3133.45
1496059200,26.93,27.2,26.44,26.78,9282,3269.35
1496664000,26.71,27.69,26.7,27.46,13208,3792.8
1497268800,27.37,27.45,26.84,27.04,7122,4067.65
1497873600,27,27.02,26.12,26.22,12770,4567.15
1498478400,26.12,26.28,25.03,25.84,17237,5317.9
1499083200,25.84,26.57,25.61,26.09,13726,5686.4
1499688000,26,27.62,25.8,26.39,19845,6441.5
1500292800,27.63,28.88,27.55,28.24,1097,6391.95
1500897600,28.21,28.21,27.61,28.1,917,6189.55
1501502400,28.07,29.19,27.8,28.21,1669,6159.95
1502107200,28.35,28.98,28.15,28.24,4444,6382.15
1502712000,28.43,29.65,28.2,29.65,4199,6592.1
1503316800,29.6,29.91,28.4,28.93,2711,6727.65
1503921600,28.84,29.96,28.65,29.18,3748,6915.05
1504526400,29.01,29.8,28.77,29.63,3428,7086.45
1505131200,29.6,32.84,29.4,32.62,5291,7351
1505736000,32.51,33.99,32.05,32.82,2244,7463.2
1506340800,32.84,33.04,31.8,32.54,2925,7609.45
1506945600,32.55,32.85,32.25,32.6,1893,6882.5
1507550400,32.61,33.48,32.6,33.37,3106,6543.1
1508151600,33.4,33.89,32.11,32.33,4158,6286.9
1508756400,32.35,33.25,32.28,32.84,1974,5725.2
1509361200,32.89,33.68,32.83,33.44,2595,5498.85
1509966000,33.55,33.6,32.73,32.79,4083,5064.5
1510570800,33.09,33.9,32.9,33.6,3076,4356.45
1511175600,33.55,33.69,33.3,33.53,912,3715.75
